Invoice Number,Company name,Invoice Date,Due Date,Payment Terms,Product/Service,Description,Quantity,Rate, Amount , Tax Amount ,Tax Code,Revenue Account,Project/Reference,Memo
INV-1010,Cedarbrook Family Dental,03/12/2026,03/27/2026,Net 15,Social Media Monthly Retainer,March retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,CED-SM-2026,Recurring retainer - month 3 of 3
INV-1011,Vantage Point Financial Advisors,01/01/2026,01/31/2026,Net 30,Marketing Strategy Consulting - Monthly Retainer,January retainer,1,"$2,500.00"," $2,500.00 ", $400.00 ,16.0% S,4200 Consulting Revenue,VPF-CNS-2026,Recurring retainer - month 1 of 3
INV-1012,Vantage Point Financial Advisors,02/01/2026,03/03/2026,Net 30,Marketing Strategy Consulting - Monthly Retainer,February retainer,1,"$2,500.00"," $2,500.00 ", $400.00 ,16.0% S,4200 Consulting Revenue,VPF-CNS-2026,Recurring retainer - month 2 of 3
INV-1012,Vantage Point Financial Advisors,02/01/2026,03/03/2026,Net 30,Brand Refresh,Logo and guideline refresh,1,"$2,800.00"," $2,800.00 ", $448.00 ,16.0% S,4120 Branding & Identity Revenue,VPF-CNS-2026,"Project ref: VPF-BRD-2026, one-off project"
INV-1013,Vantage Point Financial Advisors,03/01/2026,03/31/2026,Net 30,Marketing Strategy Consulting - Monthly Retainer,March retainer,1,"$2,500.00"," $2,500.00 ", $400.00 ,16.0% S,4200 Consulting Revenue,VPF-CNS-2026,Recurring retainer - month 3 of 3
INV-1014,Marlow & Finch Law Group,01/22/2026,02/21/2026,Net 30,Brand Identity Package,Firm rebrand engagement,1,"$4,500.00"," $4,500.00 ", $720.00 ,16.0% S,4120 Branding & Identity Revenue,MFL-BRD-2026,One-off project
INV-1015,Marlow & Finch Law Group,03/24/2026,04/23/2026,Net 30,Marketing Strategy Consulting - Hourly,"Strategic positioning consultation, 10 hrs",10,$175.00," $1,750.00 ", $280.00 ,16.0% S,4200 Consulting Revenue,MFL-CNS-2026,One-off engagement
INV-1016,Route 9 Coffee Roasters,01/09/2026,01/09/2026,Due on Receipt,Social Media Monthly Retainer,January retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,R9C-SM-2026,Recurring retainer - month 1 of 3
INV-1017,Route 9 Coffee Roasters,02/09/2026,02/09/2026,Due on Receipt,Social Media Monthly Retainer,February retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,R9C-SM-2026,Recurring retainer - month 2 of 3
INV-1017,Route 9 Coffee Roasters,02/09/2026,02/09/2026,Due on Receipt,Print Collateral Package,New bag & label packaging design,1,"$1,500.00"," $1,500.00 ", $240.00 ,16.0% S,4110 Graphic Design Revenue,R9C-SM-2026,"Project ref: R9C-GD-2026, one-off"
INV-1018,Route 9 Coffee Roasters,03/09/2026,03/09/2026,Due on Receipt,Social Media Monthly Retainer,March retainer,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4150 Social Media Management Revenue,R9C-SM-2026,Recurring retainer - month 3 of 3
INV-1019,Willow & Vine Events,02/18/2026,03/20/2026,Net 30,Promotional Video - Full Day Shoot,Full-day event promo video shoot,1,"$3,500.00"," $3,500.00 ", $560.00 ,16.0% S,4130 Video Production Revenue,WVE-PROD-2026,One-off project
INV-1019,Willow & Vine Events,02/18/2026,03/20/2026,Net 30,Corporate Photography - Full Day,Full-day event photography,1,"$1,600.00"," $1,600.00 ", $256.00 ,16.0% S,4140 Photography Revenue,WVE-PROD-2026,One-off project
INV-1020,Northgate Property Group,01/16/2026,02/15/2026,Net 30,Corporate Photography - Half Day,2 listing photo sessions,2,$900.00," $1,800.00 ", $288.00 ,16.0% S,4140 Photography Revenue,NPG-PHOTO-2026,"Recurring project, billed as delivered"
INV-1021,Northgate Property Group,02/14/2026,03/16/2026,Net 30,Corporate Photography - Half Day,1 listing photo session,1,$900.00, $900.00 , $144.00 ,16.0% S,4140 Photography Revenue,NPG-PHOTO-2026,"Recurring project, billed as delivered"
INV-1021,Northgate Property Group,02/14/2026,03/16/2026,Net 30,Marketing Strategy Session,Q1 marketing planning session,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4160 Marketing & Advertising Services,NPG-PHOTO-2026,"Project ref: NPG-MKT-2026, one-off"
INV-1022,Northgate Property Group,03/17/2026,04/16/2026,Net 30,Corporate Photography - Half Day,1 listing photo session,1,$900.00, $900.00 , $144.00 ,16.0% S,4140 Photography Revenue,NPG-PHOTO-2026,"Recurring project, billed as delivered"
INV-1023,Bright Path Learning Center,01/27/2026,02/26/2026,Net 30,Social Media Content Package (8 Posts),Enrollment season content package,1,$510.00, $510.00 , $81.60 ,16.0% S,4150 Social Media Management Revenue,BPL-SM-2026,Nonprofit rate applied (15% off standard $600 rate)
INV-1024,Bright Path Learning Center,02/25/2026,03/27/2026,Net 30,Digital Ad Campaign Setup & Management,Enrollment ad campaign,1,"$1,275.00"," $1,275.00 ", $204.00 ,16.0% S,4160 Marketing & Advertising Services,BPL-ADS-2026,"Nonprofit rate applied (15% off standard $1,500 rate)"
INV-1025,Bright Path Learning Center,03/25/2026,04/24/2026,Net 30,Digital Ad Campaign Setup & Management,"Enrollment ad campaign, continued",1,"$1,275.00"," $1,275.00 ", $204.00 ,16.0% S,4160 Marketing & Advertising Services,BPL-ADS-2026,"Nonprofit rate applied (15% off standard $1,500 rate)"
INV-1026,Ferro Industrial Supply Co.,02/10/2026,03/27/2026,Net 45,Promotional Video - Full Day Shoot,New product line promo video,1,"$3,500.00"," $3,500.00 ", $560.00 ,16.0% S,4130 Video Production Revenue,FIS-VID-2026,One-off project
INV-1027,Ferro Industrial Supply Co.,03/20/2026,05/04/2026,Net 45,Corporate Photography - Full Day,Facility & product photography,1,"$1,600.00"," $1,600.00 ", $256.00 ,16.0% S,4140 Photography Revenue,FIS-PHOTO-2026,One-off project
INV-1028,Meridian Tech Solutions,01/13/2026,02/12/2026,Net 30,Marketing Strategy Session,Go-to-market planning session,1,"$1,200.00"," $1,200.00 ", $192.00 ,16.0% S,4160 Marketing & Advertising Services,MTS-MKT-2026,One-off engagement
INV-1029,Meridian Tech Solutions,03/27/2026,04/26/2026,Net 30,Website Design,Marketing site redesign,1,"$3,200.00"," $3,200.00 ", $512.00 ,16.0% S,4160 Marketing & Advertising Services,MTS-WEB-2026,One-off project
INV-1030,Helping Hands Community Fund,01/19/2026,02/18/2026,Net 30,Discovery Workshop,Messaging & positioning workshop,1,"$1,020.00"," $1,020.00 ", $163.20 ,16.0% S,4120 Branding & Identity Revenue,HHC-BRD-2026,"Nonprofit rate applied (15% off standard $1,200 rate)"
INV-1031,Helping Hands Community Fund,02/19/2026,03/21/2026,Net 30,Social Media Monthly Retainer,February retainer,1,"$1,020.00"," $1,020.00 ", $163.20 ,16.0% S,4150 Social Media Management Revenue,HHC-SM-2026,"Nonprofit rate applied (15% off standard $1,200 rate)"
INV-1032,Helping Hands Community Fund,03/19/2026,04/18/2026,Net 30,Social Media Monthly Retainer,March retainer,1,"$1,020.00"," $1,020.00 ", $163.20 ,16.0% S,4150 Social Media Management Revenue,HHC-SM-2026,"Nonprofit rate applied (15% off standard $1,200 rate)"
