Transaction #,Transaction Date,Payee/Vendor,Expense Account,Description,Amount,Payment Account,Payment Method,Reference,Customer/Project,Memo,Payee Type
EXP-3011,02/10/2026,Metro Electric & Water Co.,6530 Other general and administrative expenses:Utilities,February electricity & water,$114.20,1110 Operating Checking Account,ACH,MEW-F26-0417,,"Generic incidental payee, not in Vendor Master Register",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3012,03/10/2026,Metro Electric & Water Co.,6530 Other general and administrative expenses:Utilities,March electricity & water,$119.75,1110 Operating Checking Account,ACH,MEW-M26-0417,,"Generic incidental payee, not in Vendor Master Register",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3013,01/31/2026,Operating Checking Account - Bank Fee,6550 Other general and administrative expenses:Bank charges,Monthly account service charge,$15.00,1110 Operating Checking Account,Bank Debit,BANK-J26,,"Direct bank charge, not a vendor transaction",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3014,02/28/2026,Operating Checking Account - Bank Fee,6550 Other general and administrative expenses:Bank charges,Monthly account service charge,$15.00,1110 Operating Checking Account,Bank Debit,BANK-F26,,"Direct bank charge, not a vendor transaction",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3015,02/12/2026,Operating Checking Account - Bank Fee,6550 Other general and administrative expenses:Bank charges,Outgoing wire transfer fee,$25.00,1110 Operating Checking Account,Bank Debit,BANK-WIRE-0212,,One-time wire fee for contractor payment,Generic/Incidental Payee (not in Vendor Master Register)
EXP-3016,03/31/2026,Operating Checking Account - Bank Fee,6550 Other general and administrative expenses:Bank charges,Monthly account service charge,$15.00,1110 Operating Checking Account,Bank Debit,BANK-M26,,"Direct bank charge, not a vendor transaction",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3017,01/16/2026,Office Depot,6510 Other general and administrative expenses:Supplies,"Printer paper, pens, folders",$45.30,2300 Credit Card,Credit Card,OD-88213,,General office restock,Generic/Incidental Payee (not in Vendor Master Register)
EXP-3018,02/20/2026,Office Depot,6510 Other general and administrative expenses:Supplies,"Notebooks, whiteboard markers, shipping labels",$62.75,2300 Credit Card,Credit Card,OD-88544,,General office restock,Generic/Incidental Payee (not in Vendor Master Register)
EXP-3019,03/14/2026,Office Depot,6510 Other general and administrative expenses:Supplies,Printer ink cartridges,$79.99,2300 Credit Card,Credit Card,OD-88901,,Printer maintenance restock,Generic/Incidental Payee (not in Vendor Master Register)
EXP-3020,03/28/2026,Office Depot,6510 Other general and administrative expenses:Supplies,Shipping supplies for client deliverables,$38.40,2300 Credit Card,Credit Card,OD-89012,,Packaging for physical deliverables,Generic/Incidental Payee (not in Vendor Master Register)
EXP-3021,02/14/2026,Meta Ads,6410 Marketing & Advertising:Other Types of Expenses-Advertising Expenses,In-house Elevate brand awareness campaign,$150.00,2300 Credit Card,Credit Card,META-88401,,"Elevate's own marketing, not a client-billable campaign",Existing Master Vendor
EXP-3022,03/14/2026,Google Ads,6410 Marketing & Advertising:Other Types of Expenses-Advertising Expenses,In-house Elevate search ad campaign,$120.00,2300 Credit Card,Credit Card,GADS-55299,,"Elevate's own marketing, not a client-billable campaign",Existing Master Vendor
EXP-3023,02/22/2026,Delta Air Lines,6570 Other general and administrative expenses:Travel expenses - general and admin expenses,Round-trip flight - Ferro Industrial site visit,$312.60,2300 Credit Card,Credit Card,DL-0022657,,Business travel for facility photography planning,Generic/Incidental Payee (not in Vendor Master Register)
EXP-3024,03/18/2026,Delta Air Lines,6570 Other general and administrative expenses:Travel expenses - general and admin expenses,Round-trip flight - prospective client pitch meeting,$289.40,2300 Credit Card,Credit Card,DL-0031892,,"Business development travel, non-billable",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3025,03/26/2026,Metro Parking Authority,6570 Other general and administrative expenses:Travel expenses - general and admin expenses,Parking - local client site visit,$24.00,2300 Credit Card,Credit Card,MPA-77104,,"Local travel, non-billable",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3026,01/29/2026,LinkedIn Learning,6580 Other general and administrative expenses:Training & Education,Advanced Adobe Illustrator course - M. Lin,$39.99,2300 Credit Card,Credit Card,LIL-40021,,"Professional development, in-house designer",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3027,03/11/2026,Skillshare,6580 Other general and administrative expenses:Training & Education,Social media analytics course - A. Thompson,$32.00,2300 Credit Card,Credit Card,SKS-91233,,"Professional development, marketing coordinator",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3028,01/08/2026,Canva Pro,6590 Other general and administrative expenses:Dues and subscriptions,Design subscription - monthly,$12.99,2300 Credit Card,Credit Card,CANVA-J26,,"Supplementary design tool, monthly auto-renewal",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3029,02/08/2026,Canva Pro,6590 Other general and administrative expenses:Dues and subscriptions,Design subscription - monthly,$12.99,2300 Credit Card,Credit Card,CANVA-F26,,"Supplementary design tool, monthly auto-renewal",Generic/Incidental Payee (not in Vendor Master Register)
EXP-3030,03/08/2026,Canva Pro,6590 Other general and administrative expenses:Dues and subscriptions,Design subscription - monthly,$12.99,2300 Credit Card,Credit Card,CANVA-M26,,"Supplementary design tool, monthly auto-renewal",Generic/Incidental Payee (not in Vendor Master Register)
